
/begin_header
/missing=-999
/delimiter=space
!
! Water absorption and scattering coefficients
! 200nm - 2450nm
!
! Absorption coefficients were derived from Pope and Fry and Kou et. al.,
!
! Scattering coefficients were derived from Zhang et al. (2009)
! using a temperature of 20 degrees C and a salinity of 38.4 g/kg
!
!       Pope, R. M. and E. S. Fry, 1997, "Absorption spectrum (380-700 nm) of
!               pure water. II. Integrating cavity measurements,"
!               Appl. Opt.,36, 8710-8723.
!
!       Kou, L., D. Labrie, P. Chylek, 1993, "Refractive indices of water and
!               ice in the 0.65-2.5 m spectral range,"
!               Appl. Opt.,32, 3531-3540.
!
!	Zhang, X., L. Hu, and M-X. He, 2009, "Scattering by pure seawater:
		Effect of salinity,"
		Opt. Express 17, 5698-5710.
!
! NOTE: for backscatter, we use 0.5*bw
!
/fields=wavelength,aw,bw
/units=nm,m^-1,m^-1
/end_header
252.7 0.531460 0.0542374
252.8 0.530440 0.0541321
252.9 0.529420 0.0540270
253.0 0.528400 0.0539221
253.1 0.527380 0.0538176
253.2 0.526360 0.0537133
253.3 0.525340 0.0536093
253.4 0.524320 0.0535055
253.5 0.523300 0.0534020
253.6 0.522280 0.0532988
253.7 0.521260 0.0531958
253.8 0.520240 0.0530931
253.9 0.519220 0.0529906
254.0 0.518200 0.0528884
254.1 0.517180 0.0527865
254.2 0.516160 0.0526848
254.3 0.515140 0.0525833
254.4 0.514120 0.0524821
254.5 0.513100 0.0523812
254.6 0.512080 0.0522805
254.7 0.511060 0.0521801
254.8 0.510040 0.0520799
254.9 0.509020 0.0519800
255.0 0.508000 0.0518803
255.1 0.506980 0.0517809
255.2 0.505960 0.0516817
255.3 0.504940 0.0515827
255.4 0.503920 0.0514841
255.5 0.502900 0.0513856
255.6 0.501880 0.0512875
255.7 0.500860 0.0511895
255.8 0.499840 0.0510918
255.9 0.498820 0.0509943
256.0 0.497800 0.0508971
256.1 0.496780 0.0508001
256.2 0.495760 0.0507033
256.3 0.494740 0.0506069
256.4 0.493720 0.0505106
256.5 0.492700 0.0504146
256.6 0.491680 0.0503188
256.7 0.490660 0.0502232
256.8 0.489640 0.0501279
256.9 0.488620 0.0500328
257.0 0.487600 0.0499380
257.1 0.486580 0.0498434
257.2 0.485560 0.0497490
257.3 0.484540 0.0496549
257.4 0.483520 0.0495610
257.5 0.482500 0.0494673
257.6 0.481480 0.0493738
257.7 0.480460 0.0492806
257.8 0.479440 0.0491876
257.9 0.478420 0.0490948
258.0 0.477400 0.0490023
258.1 0.476380 0.0489099
258.2 0.475360 0.0488179
258.3 0.474340 0.0487260
258.4 0.473320 0.0486344
258.5 0.472300 0.0485430
258.6 0.471280 0.0484518
258.7 0.470260 0.0483608
258.8 0.469240 0.0482701
258.9 0.468220 0.0481796
259.0 0.467200 0.0480893
259.1 0.466180 0.0479991
259.2 0.465160 0.0479093
259.3 0.464140 0.0478197
259.4 0.463120 0.0477302
259.5 0.462100 0.0476410
259.6 0.461080 0.0475520
259.7 0.460060 0.0474632
259.8 0.459040 0.0473747
259.9 0.458020 0.0472864
260.0 0.457000 0.0471982
260.1 0.456160 0.0471103
260.2 0.455320 0.0470226
260.3 0.454480 0.0469351
260.4 0.453640 0.0468478
260.5 0.452800 0.0467608
260.6 0.451960 0.0466739
260.7 0.451120 0.0465872
260.8 0.450280 0.0465008
260.9 0.449440 0.0464146
261.0 0.448600 0.0463285
261.1 0.447760 0.0462427
261.2 0.446920 0.0461571
261.3 0.446080 0.0460717
261.4 0.445240 0.0459865
261.5 0.444400 0.0459015
261.6 0.443560 0.0458167
261.7 0.442720 0.0457321
261.8 0.441880 0.0456477
261.9 0.441040 0.0455635
262.0 0.440200 0.0454796
262.1 0.439360 0.0453957
262.2 0.438520 0.0453122
262.3 0.437680 0.0452288
262.4 0.436840 0.0451456
262.5 0.436000 0.0450627
262.6 0.435160 0.0449798
262.7 0.434320 0.0448972
262.8 0.433480 0.0448149
262.9 0.432640 0.0447327
263.0 0.431800 0.0446507
263.1 0.430960 0.0445688
263.2 0.430120 0.0444872
263.3 0.429280 0.0444059
263.4 0.428440 0.0443246
263.5 0.427600 0.0442436
263.6 0.426760 0.0441628
263.7 0.425920 0.0440821
263.8 0.425080 0.0440016
263.9 0.424240 0.0439214
264.0 0.423400 0.0438413
264.1 0.422560 0.0437614
264.2 0.421720 0.0436817
264.3 0.420880 0.0436022
264.4 0.420040 0.0435229
264.5 0.419200 0.0434438
264.6 0.418360 0.0433648
264.7 0.417520 0.0432860
264.8 0.416680 0.0432075
264.9 0.415840 0.0431291
265.0 0.415000 0.0430509
265.1 0.414160 0.0429729
265.2 0.413320 0.0428950
265.3 0.412480 0.0428174
265.4 0.411640 0.0427399
265.5 0.410800 0.0426626
265.6 0.409960 0.0425855
265.7 0.409120 0.0425086
265.8 0.408280 0.0424318
265.9 0.407440 0.0423553
266.0 0.406600 0.0422789
266.1 0.405760 0.0422027
266.2 0.404920 0.0421266
266.3 0.404080 0.0420508
266.4 0.403240 0.0419751
266.5 0.402400 0.0418996
266.6 0.401560 0.0418243
266.7 0.400720 0.0417491
266.8 0.399880 0.0416742
266.9 0.399040 0.0415994
267.0 0.398200 0.0415247
267.1 0.397360 0.0414503
267.2 0.396520 0.0413760
267.3 0.395680 0.0413019
267.4 0.394840 0.0412280
267.5 0.394000 0.0411542
267.6 0.393160 0.0410806
267.7 0.392320 0.0410072
267.8 0.391480 0.0409340
267.9 0.390640 0.0408609
268.0 0.389800 0.0407879
268.1 0.388960 0.0407152
268.2 0.388120 0.0406426
268.3 0.387280 0.0405702
268.4 0.386440 0.0404980
268.5 0.385600 0.0404259
268.6 0.384760 0.0403540
268.7 0.383920 0.0402822
268.8 0.383080 0.0402107
268.9 0.382240 0.0401393
269.0 0.381400 0.0400680
269.1 0.380560 0.0399969
269.2 0.379720 0.0399260
269.3 0.378880 0.0398553
269.4 0.378040 0.0397847
269.5 0.377200 0.0397143
269.6 0.376360 0.0396440
269.7 0.375520 0.0395738
269.8 0.374680 0.0395039
269.9 0.373840 0.0394341
270.0 0.373000 0.0393645
270.1 0.372150 0.0392950
270.2 0.371300 0.0392257
270.3 0.370450 0.0391565
270.4 0.369600 0.0390876
270.5 0.368750 0.0390187
270.6 0.367900 0.0389500
270.7 0.367050 0.0388815
270.8 0.366200 0.0388132
270.9 0.365350 0.0387449
271.0 0.364500 0.0386769
271.1 0.363650 0.0386090
271.2 0.362800 0.0385412
271.3 0.361950 0.0384737
271.4 0.361100 0.0384062
271.5 0.360250 0.0383389
271.6 0.359400 0.0382718
271.7 0.358550 0.0382048
271.8 0.357700 0.0381380
271.9 0.356850 0.0380713
272.0 0.356000 0.0380048
272.1 0.355150 0.0379384
272.2 0.354300 0.0378721
272.3 0.353450 0.0378061
272.4 0.352600 0.0377402
272.5 0.351750 0.0376744
272.6 0.350900 0.0376087
272.7 0.350050 0.0375432
272.8 0.349200 0.0374779
272.9 0.348350 0.0374127
273.0 0.347500 0.0373477
273.1 0.346650 0.0372828
273.2 0.345800 0.0372180
273.3 0.344950 0.0371534
273.4 0.344100 0.0370890
273.5 0.343250 0.0370247
273.6 0.342400 0.0369605
273.7 0.341550 0.0368965
273.8 0.340700 0.0368326
273.9 0.339850 0.0367688
274.0 0.339000 0.0367052
274.1 0.338150 0.0366418
