4, channel 4 SRF extracted from AHI-8_SpectralResponsivity_Data.xlsx (release Sept 2013)
Number of data points:
1336
Wavenumber (cm-1)   Filter response
    11682.000000       0.874377
    11683.000000       0.874005
    11684.000000       0.873654
    11685.000000       0.873321
    11686.000000       0.873004
    11687.000000       0.872700
    11688.000000       0.872408
    11689.000000       0.872126
    11690.000000       0.871851
    11691.000000       0.871580
    11692.000000       0.871313
    11693.000000       0.871046
    11694.000000       0.870778
    11695.000000       0.870506
    11696.000000       0.870228
    11697.000000       0.869928
    11698.000000       0.869601
    11699.000000       0.869256
    11700.000000       0.868901
    11701.000000       0.868544
    11702.000000       0.868193
    11703.000000       0.867857
    11704.000000       0.867543
    11705.000000       0.867260
    11706.000000       0.867016
    11707.000000       0.866819
    11708.000000       0.866677
    11709.000000       0.866599
    11710.000000       0.866590
    11711.000000       0.866650
    11712.000000       0.866772
    11713.000000       0.866949
    11714.000000       0.867177
    11715.000000       0.867449
    11716.000000       0.867760
    11717.000000       0.868105
    11718.000000       0.868477
    11719.000000       0.868872
    11720.000000       0.869284
    11721.000000       0.869706
    11722.000000       0.870134
    11723.000000       0.870562
    11724.000000       0.870998
    11725.000000       0.871481
    11726.000000       0.872013
    11727.000000       0.872591
    11728.000000       0.873215
    11729.000000       0.873882
    11730.000000       0.874591
    11731.000000       0.875340
    11732.000000       0.876127
    11733.000000       0.876950
    11734.000000       0.877808
    11735.000000       0.878699
    11736.000000       0.879621
    11737.000000       0.880572
    11738.000000       0.881607
    11739.000000       0.882790
    11740.000000       0.884102
    11741.000000       0.885521
    11742.000000       0.887025
    11743.000000       0.888595
    11744.000000       0.890209
    11745.000000       0.891846
    11746.000000       0.893485
    11747.000000       0.895106
    11748.000000       0.896687
    11749.000000       0.898208
    11750.000000       0.899648
    11751.000000       0.900986
    11752.000000       0.902280
    11753.000000       0.903571
    11754.000000       0.904854
    11755.000000       0.906124
    11756.000000       0.907377
    11757.000000       0.908608
    11758.000000       0.909813
    11759.000000       0.910987
    11760.000000       0.912126
    11761.000000       0.913224
    11762.000000       0.914278
    11763.000000       0.915282
    11764.000000       0.916232
    11765.000000       0.917127
    11766.000000       0.918011
    11767.000000       0.918894
    11768.000000       0.919769
    11769.000000       0.920628
    11770.000000       0.921465
    11771.000000       0.922272
    11772.000000       0.923043
    11773.000000       0.923769
    11774.000000       0.924445
    11775.000000       0.925062
    11776.000000       0.925614
    11777.000000       0.926094
    11778.000000       0.926494
    11779.000000       0.926816
    11780.000000       0.927119
    11781.000000       0.927415
    11782.000000       0.927700
    11783.000000       0.927973
    11784.000000       0.928230
    11785.000000       0.928469
    11786.000000       0.928687
    11787.000000       0.928881
    11788.000000       0.929050
    11789.000000       0.929189
    11790.000000       0.929298
    11791.000000       0.929372
    11792.000000       0.929409
    11793.000000       0.929400
    11794.000000       0.929311
    11795.000000       0.929142
    11796.000000       0.928900
    11797.000000       0.928589
    11798.000000       0.928215
    11799.000000       0.927784
    11800.000000       0.927302
    11801.000000       0.926773
    11802.000000       0.926205
    11803.000000       0.925601
    11804.000000       0.924969
    11805.000000       0.924312
    11806.000000       0.923638
    11807.000000       0.922913
    11808.000000       0.922002
    11809.000000       0.920907
    11810.000000       0.919642
    11811.000000       0.918224
    11812.000000       0.916667
    11813.000000       0.914987
    11814.000000       0.913200
    11815.000000       0.911320
    11816.000000       0.909363
    11817.000000       0.907344
    11818.000000       0.905279
    11819.000000       0.903183
    11820.000000       0.901071
    11821.000000       0.898913
    11822.000000       0.896581
    11823.000000       0.894080
    11824.000000       0.891426
    11825.000000       0.888637
    11826.000000       0.885728
    11827.000000       0.882717
    11828.000000       0.879620
    11829.000000       0.876453
    11830.000000       0.873233
    11831.000000       0.869976
    11832.000000       0.866699
    11833.000000       0.863419
    11834.000000       0.860150
    11835.000000       0.856885
    11836.000000       0.853554
    11837.000000       0.850156
    11838.000000       0.846696
    11839.000000       0.843180
    11840.000000       0.839611
    11841.000000       0.835996
    11842.000000       0.832339
    11843.000000       0.828644
    11844.000000       0.824917
    11845.000000       0.821163
    11846.000000       0.817387
    11847.000000       0.813593
    11848.000000       0.809787
    11849.000000       0.805963
    11850.000000       0.802091
    11851.000000       0.798175
    11852.000000       0.794218
    11853.000000       0.790224
    11854.000000       0.786197
    11855.000000       0.782142
    11856.000000       0.778064
    11857.000000       0.773965
    11858.000000       0.769851
    11859.000000       0.765726
    11860.000000       0.761594
    11861.000000       0.757459
    11862.000000       0.753325
    11863.000000       0.749194
    11864.000000       0.745057
    11865.000000       0.740912
